Unnamed: 0_level_0,Males,Males,Females,Females
Rank,Name,Number,Name,Number
1.0,James,4700229,Mary,3196385
2.0,Robert,4455696,Patricia,1558407
3.0,John,4453807,Jennifer,1468377
4.0,Michael,4335919,Linda,1448303
5.0,William,3564276,Elizabeth,1420377
6.0,David,3564053,Barbara,1397635
7.0,Richard,2454407,Susan,1103569
8.0,Joseph,2335792,Jessica,1046322
9.0,Thomas,2151864,Sarah,991910
10.0,Charles,2084043,Karen,986057
11.0,Christopher,2038798,Nancy,966867
12.0,Daniel,1895292,Lisa,965015
13.0,Matthew,1607467,Betty,924629
14.0,Anthony,1406030,Margaret,918541
15.0,Mark,1347519,Sandra,873509
16.0,Donald,1336753,Ashley,849297
17.0,Steven,1282598,Kimberly,839796
18.0,Paul,1275700,Emily,830999
19.0,Andrew,1254054,Donna,822330
20.0,Joshua,1220730,Michelle,812335
21.0,Kenneth,1220221,Dorothy,811392
22.0,Kevin,1174762,Carol,806170
23.0,Brian,1168073,Amanda,773199
24.0,George,1135235,Melissa,753994
25.0,Edward,1079619,Deborah,740019
26.0,Ronald,1072746,Stephanie,738523
27.0,Timothy,1070916,Rebecca,729630
28.0,Jason,1038335,Sharon,720826
29.0,Jeffrey,975915,Laura,718006
30.0,Ryan,942977,Cynthia,705717
31.0,Jacob,933692,Kathleen,686217
32.0,Gary,900088,Amy,681397
33.0,Nicholas,894521,Shirley,663452
34.0,Eric,879257,Angela,658968
35.0,Jonathan,848774,Helen,618563
36.0,Stephen,839278,Anna,618367
37.0,Larry,802272,Brenda,606291
38.0,Justin,779504,Pamela,592696
39.0,Scott,769980,Nicole,589434
40.0,Brandon,761473,Emma,580610
41.0,Benjamin,740347,Samantha,578986
42.0,Samuel,714013,Katherine,571574
43.0,Gregory,707501,Christine,561161
44.0,Frank,691530,Debra,548280
45.0,Alexander,675746,Rachel,546153
46.0,Raymond,668793,Catherine,542748
47.0,Patrick,664723,Carolyn,540963
48.0,Jack,636674,Janet,539224
49.0,Dennis,611128,Ruth,538629
50.0,Jerry,602117,Maria,529342
51.0,Tyler,592495,Heather,524166
52.0,Aaron,583990,Diane,515183
53.0,Jose,562444,Virginia,515088
54.0,Adam,554559,Julie,506594
55.0,Henry,552861,Joyce,499340
56.0,Nathan,549445,Victoria,485786
57.0,Douglas,548008,Olivia,481364
58.0,Zachary,540674,Kelly,471621
59.0,Peter,538899,Christina,471106
60.0,Kyle,481259,Lauren,470902
61.0,Walter,464525,Joan,467459
62.0,Ethan,444913,Evelyn,461952
63.0,Jeremy,439166,Judith,449805
64.0,Harold,435205,Megan,437647
65.0,Keith,431424,Cheryl,436882
66.0,Christian,429981,Andrea,436126
67.0,Roger,428417,Hannah,431117
68.0,Noah,427157,Martha,426247
69.0,Gerald,425285,Jacqueline,420505
70.0,Carl,425085,Frances,414289
71.0,Terry,422213,Gloria,408565
72.0,Sean,419666,Ann,407374
73.0,Austin,415211,Teresa,404253
74.0,Arthur,407825,Kathryn,402613
75.0,Lawrence,401973,Sara,400884
76.0,Jesse,387954,Janice,399546
77.0,Dylan,383878,Jean,399416
78.0,Bryan,382874,Alice,396362
79.0,Joe,382502,Madison,393297
80.0,Jordan,382332,Doris,383158
81.0,Billy,378364,Abigail,381738
82.0,Bruce,375579,Julia,380836
83.0,Albert,367790,Judy,377815
84.0,Willie,361107,Grace,377678
85.0,Gabriel,359009,Denise,371269
86.0,Logan,350490,Amber,370577
87.0,Alan,350127,Marilyn,369781
88.0,Juan,347289,Beverly,369669
89.0,Wayne,337274,Danielle,368485
90.0,Roy,332214,Theresa,367426
91.0,Ralph,330142,Sophia,364383
92.0,Randy,328086,Marie,361371
93.0,Eugene,323717,Diana,359617
94.0,Vincent,323196,Brittany,358850
95.0,Russell,318213,Natalie,356379
96.0,Elijah,316573,Isabella,354245
97.0,Louis,314537,Charlotte,347772
98.0,Bobby,313403,Rose,344656
99.0,Philip,313385,Alexis,340587
100.0,Johnny,308289,Kayla,340511
